@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ com.google.gson.JsonStreamParser.next,4,4,4,2,2,50.0,50.0,0,9
@@ com.google.gson.JsonStreamParser.hasNext,5,5,6,2,2,33.33333333333333,33.33333333333333,0,2
@@ com.google.gson.TypeUtils.getActualTypeForFirstTypeVariable,8,10,9,4,6,44.44444444444444,66.66666666666666,0,5
@@ com.google.gson.TypeUtils.isArray,6,7,5,3,4,60.0,80.0,0,1
@@ com.google.gson.TypeUtils.toRawClass,10,13,13,5,8,38.46153846153847,61.53846153846154,0,5
@@ com.google.gson.VersionExclusionStrategy.<init>,5,5,4,2,3,50.0,75.0,0,1
@@ com.google.gson.VersionExclusionStrategy.shouldSkipField,5,5,4,2,2,50.0,50.0,0,1
@@ com.google.gson.VersionExclusionStrategy.shouldSkipClass,5,5,4,2,2,50.0,50.0,0,1
@@ com.google.gson.VersionExclusionStrategy.isValidVersion,6,7,8,3,4,37.5,50.0,0,2
@@ com.google.gson.VersionExclusionStrategy.isValidSince,5,6,9,3,4,33.33333333333333,44.44444444444444,0,1
@@ com.google.gson.VersionExclusionStrategy.isValidUntil,5,6,9,3,4,33.33333333333333,44.44444444444444,0,3
@@ com.google.gson.TypeInfo.isCollectionOrArray,6,7,6,3,4,50.0,66.66666666666666,0,2
@@ com.google.gson.GenericArrayTypeImpl.equals,9,11,12,4,6,33.33333333333333,50.0,0,3
@@ com.google.gson.GenericArrayTypeImpl.hashCode,5,5,6,2,3,33.33333333333333,50.0,0,2
@@ com.google.gson.Gson.createExclusionStrategy,4,4,5,2,3,40.0,60.0,0,1
@@ com.google.gson.Gson.toJsonTree,4,4,4,2,2,50.0,50.0,0,1
@@ com.google.gson.Gson.toJsonTree,4,4,8,2,2,25.0,25.0,0,2
@@ com.google.gson.Gson.toJson,7,8,8,3,4,37.5,50.0,0,2
@@ com.google.gson.Gson.toJson,6,7,11,3,4,27.27272727272727,36.36363636363637,0,3
@@ com.google.gson.Gson.toJson,6,7,14,4,5,28.57142857142857,35.714285714285715,0,7
@@ com.google.gson.Gson.fromJson,4,4,5,2,2,40.0,40.0,0,1
@@ com.google.gson.Gson.fromJson,4,4,8,2,2,25.0,25.0,0,2
@@ com.google.gson.TypeInfoArray.<init>,5,5,11,2,4,18.181818181818183,36.36363636363637,0,3
@@ com.google.gson.TypeInfoArray.extractSecondLevelType,5,5,4,2,3,50.0,75.0,0,0
@@ com.google.gson.DefaultTypeAdapters$DefaultTimeTypeAdapter.deserialize,4,4,5,2,2,40.0,40.0,0,1
@@ com.google.gson.DisjunctionExclusionStrategy.shouldSkipField,7,8,7,3,4,42.857142857142854,57.14285714285714,0,1
