@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.resetBlockSize,4,4,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.available,4,4,11,11,100.0,0,0
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.read,12,15,51,23,45.09803921568628,0,0
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.skip,15,19,57,26,45.614035087719294,0,1
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.close,5,6,12,7,58.333333333333336,0,0
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.peek,4,4,10,7,70.0,0,0
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.readRecord,4,4,5,5,100.0,0,1
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.readBlock,21,30,54,50,92.5925925925926,0,1
@@ org.apache.commons.compress.archivers.dump.TapeInputStream.readFully,4,4,4,4,100.0,0,1
@@ org.apache.commons.compress.archivers.dump.DumpArchiveConstants$COMPRESSION_TYPE.find,7,8,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.dump.DumpArchiveUtil.calculateChecksum,5,5,12,5,41.66666666666667,0,0
@@ org.apache.commons.compress.archivers.dump.DumpArchiveUtil.verify,7,8,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.find,9,11,11,8,72.72727272727273,0,0
@@ org.apache.commons.compress.archivers.jar.JarArchiveEntry.getCertificates,4,4,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.jar.JarArchiveOutputStream.putArchiveEntry,4,4,8,6,75.0,0,1
@@ org.apache.commons.compress.archivers.jar.JarArchiveInputStream.getNextJarEntry,5,5,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZMethod.byId,7,8,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.getCreationDate,4,4,6,6,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.setCreationDate,7,8,9,7,77.77777777777779,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.getLastModifiedDate,4,4,6,6,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.setLastModifiedDate,7,8,9,7,77.77777777777779,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.getAccessDate,4,4,6,6,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.setAccessDate,7,8,9,7,77.77777777777779,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.setContentMethods,8,9,7,7,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.hashCode,5,5,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.equals,27,47,155,80,51.61290322580645,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry.equalSevenZMethods,17,23,18,16,88.88888888888889,0,0
@@ org.apache.commons.compress.archivers.sevenz.CLI$Mode$2.takeAction,20,29,48,35,72.91666666666666,0,1
@@ org.apache.commons.compress.archivers.sevenz.CoderBase.canAcceptOptions,7,8,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.CoderBase.numberOptionOrDefault,5,5,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.Coders.addDecoder,4,4,12,12,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.Coders.addEncoder,4,4,6,6,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.Archive.lengthOf,5,5,3,3,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.Archive.lengthOf,5,5,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.BoundedSeekableByteChannelInputStream.<init>,6,7,7,5,71.42857142857143,0,0
@@ org.apache.commons.compress.archivers.sevenz.BoundedSeekableByteChannelInputStream.read,6,7,11,11,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.BoundedSeekableByteChannelInputStream.read,11,14,43,22,51.162790697674424,0,1
