@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.csv.CSVParser.getRecords,5,5,6,1,2,16.666666666666664,33.33333333333333,0,14
@@ org.apache.commons.csv.CSVParser.getRecord,13,19,60,9,14,15.0,23.333333333333332,0,72
@@ org.apache.commons.csv.CSVParser.initializeHeader,12,16,33,9,18,27.27272727272727,54.54545454545454,0,15
@@ org.apache.commons.csv.Lexer.readEscape,8,12,7,6,6,85.71428571428571,85.71428571428571,0,1
@@ org.apache.commons.csv.Lexer.trimTrailingSpaces,8,10,21,9,15,42.857142857142854,71.42857142857143,0,9
@@ org.apache.commons.csv.Lexer.isWhitespace,6,7,8,3,4,37.5,50.0,0,3
@@ org.apache.commons.csv.Lexer.isEndOfLine,9,12,16,8,12,50.0,75.0,0,3
@@ org.apache.commons.csv.Lexer.isEndOfFile,5,5,2,2,2,100.0,100.0,0,1
@@ org.apache.commons.csv.Lexer.isDelimiter,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.csv.Lexer.isEscape,6,7,10,3,4,30.0,40.0,0,2
@@ org.apache.commons.csv.Lexer.isEncapsulator,6,7,10,3,4,30.0,40.0,0,1
@@ org.apache.commons.csv.Lexer.isCommentStart,6,7,10,3,4,30.0,40.0,0,1
@@ org.apache.commons.csv.CSVRecord.<init>,5,5,6,2,3,33.33333333333333,50.0,0,0
@@ org.apache.commons.csv.CSVRecord.get,7,8,12,3,4,25.0,33.33333333333333,0,2
@@ org.apache.commons.csv.CSVParser$1.hasNext,7,8,11,4,8,36.36363636363637,72.72727272727273,0,1
@@ org.apache.commons.csv.CSVParser$1.next,5,6,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.apache.commons.csv.CSVLexer.nextToken,30,48,157,70,123,44.5859872611465,78.343949044586,0,147
@@ org.apache.commons.csv.CSVLexer.encapsulatedTokenLexer,18,25,55,9,16,16.363636363636363,29.09090909090909,0,15
@@ org.apache.commons.csv.ExtendedBufferedReader.read,4,4,6,2,3,33.33333333333333,50.0,0,1
@@ org.apache.commons.csv.ExtendedBufferedReader.read,19,26,56,17,29,30.357142857142854,51.78571428571429,0,15
@@ org.apache.commons.csv.ExtendedBufferedReader.readLine,7,8,10,3,5,30.0,50.0,0,1
@@ org.apache.commons.csv.CSVFormat.isLineBreak,6,7,4,3,4,75.0,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.validate,14,20,48,9,14,18.75,29.166666666666668,0,4
@@ org.apache.commons.csv.CSVFormat.withDelimiter,4,4,11,2,2,18.181818181818183,18.181818181818183,0,0
@@ org.apache.commons.csv.CSVFormat.withEncapsulator,4,4,11,2,2,18.181818181818183,18.181818181818183,0,0
@@ org.apache.commons.csv.CSVFormat.isEncapsulating,5,5,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.csv.CSVFormat.withCommentStart,4,4,11,2,2,18.181818181818183,18.181818181818183,0,0
@@ org.apache.commons.csv.CSVFormat.isCommentingEnabled,5,5,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.csv.CSVFormat.withEscape,4,4,11,2,2,18.181818181818183,18.181818181818183,0,4
@@ org.apache.commons.csv.CSVFormat.isEscaping,5,5,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.csv.CSVFormat.toString,12,16,22,10,11,45.45454545454545,50.0,0,5
@@ org.apache.commons.csv.CSVPrinter.<init>,5,5,5,2,3,40.0,60.0,0,0
@@ org.apache.commons.csv.CSVPrinter.flush,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.csv.CSVPrinter.println,5,5,11,2,4,18.181818181818183,36.36363636363637,0,1
@@ org.apache.commons.csv.CSVPrinter.printComment,15,21,48,12,25,25.0,52.083333333333336,0,13
@@ org.apache.commons.csv.CSVPrinter.print,7,8,21,3,4,14.285714285714285,19.047619047619047,0,1
@@ org.apache.commons.csv.CSVPrinter.printSep,5,5,8,2,2,25.0,25.0,0,1
@@ org.apache.commons.csv.CSVPrinter.printAndEscape,18,26,65,16,37,24.615384615384617,56.92307692307692,0,24
@@ org.apache.commons.csv.CSVPrinter.printAndEncapsulate,32,51,115,43,71,37.391304347826086,61.73913043478261,0,41
@@ org.apache.commons.csv.CSVPrinter.print,7,8,11,4,8,36.36363636363637,72.72727272727273,0,1
