>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.mockito.internal.creation.bytebuddy.MockBytecodeGenerator.generateMockClass,18,3,5,16.6666666666667,27.7777777777778,0,1
@@ org.mockito.internal.creation.bytebuddy.MockBytecodeGenerator.nameFor,17,4,8,23.5294117647059,47.0588235294118,0,1
@@ org.mockito.internal.creation.util.SearchingClassLoader.combineLoadersOf,11,2,4,18.1818181818182,36.3636363636364,0,1
@@ org.mockito.internal.creation.util.SearchingClassLoader.combine,11,2,3,18.1818181818182,27.2727272727273,0,1
@@ org.mockito.internal.creation.util.SearchingClassLoader.addIfNewElement,8,3,4,37.5,50,0,1
@@ org.mockito.internal.creation.util.SearchingClassLoader.findClass,9,2,2,22.2222222222222,22.2222222222222,0,1
@@ org.mockito.internal.creation.instance.ConstructorInstantiator.withParams,18,4,8,22.2222222222222,44.4444444444444,0,1
@@ org.mockito.internal.runners.RunnerFactory.create,10,2,2,20,20,0,1
@@ org.mockito.internal.runners.util.TestMethodsFinder.hasTestMethods,13,4,8,30.7692307692308,61.5384615384615,0,1
@@ org.mockito.internal.stubbing.StubberImpl.when,14,3,5,21.4285714285714,35.7142857142857,0,1
@@ org.mockito.internal.stubbing.InvocationContainerImpl.findAnswerFor,11,3,4,27.2727272727273,36.3636363636364,0,1
@@ org.mockito.internal.stubbing.InvocationContainerImpl.hasInvocationForPotentialStubbing,4,2,2,50,50,0,1
@@ org.mockito.internal.stubbing.InvocationContainerImpl.createRegisteredInvocations,2,2,2,100,100,0,1
@@ org.mockito.internal.stubbing.OngoingStubbingImpl.thenAnswer,7,2,3,28.5714285714286,42.8571428571429,0,1
@@ org.mockito.internal.stubbing.answers.ClonesArguments.answer,10,2,4,20,40,0,1
@@ org.mockito.internal.stubbing.answers.MethodInfo.isValidReturnType,15,5,6,33.3333333333333,40,0,1
@@ org.mockito.internal.stubbing.answers.AnswersValidator.validateException,15,6,8,40,53.3333333333333,0,1
@@ org.mockito.internal.stubbing.answers.ReturnsArgumentAt.actualArgumentPosition,4,2,3,50,75,0,1
@@ org.mockito.internal.stubbing.answers.ReturnsArgumentAt.argumentPositionInRange,8,4,6,50,75,0,1
@@ org.mockito.internal.stubbing.answers.ReturnsArgumentAt.returnedTypeOnSignature,13,3,4,23.0769230769231,30.7692307692308,0,1
@@ org.mockito.internal.stubbing.answers.CallsRealMethods.answer,5,2,2,40,40,0,1
@@ org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls.answer,10,4,6,40,60,0,1
@@ org.mockito.internal.stubbing.defaultanswers.ReturnsMoreEmptyValues.returnValueFor,5,3,4,60,80,0,1
@@ org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations.compatibleReturnTypes,8,3,4,37.5,50,0,1
