@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.closeForWriting,4,4,6,2,2,33.33333333333333,33.33333333333333,0,10
@@ org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.close,5,6,10,3,4,30.0,40.0,0,6
@@ org.apache.commons.compress.changes.ChangeSetResults.hasBeenAdded,6,7,12,3,4,25.0,33.33333333333333,0,6
@@ org.apache.commons.compress.changes.ChangeSetPerformer.perform,32,49,81,22,38,27.160493827160494,46.913580246913575,0,165
@@ org.apache.commons.compress.changes.ChangeSetPerformer.isDeletedLater,12,17,15,7,10,46.666666666666664,66.66666666666666,0,6
@@ org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveInputStreamIterator.hasNext,5,5,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.compress.changes.Change.<init>,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.compress.changes.Change.<init>,5,6,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.compress.changes.ChangeSet.addAddition,15,22,31,9,17,29.03225806451613,54.83870967741935,0,9
@@ org.apache.commons.compress.changes.ChangeSet.addDeletion,20,32,41,15,26,36.58536585365854,63.41463414634146,0,26
@@ org.apache.commons.compress.archivers.ArchiveInputStream.read,5,5,4,2,3,50.0,75.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveInputStream.count,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory$1.run,5,5,2,1,2,50.0,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory$2.run,5,5,2,1,2,50.0,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveOutputStream.count,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.putAll,5,5,2,1,1,50.0,50.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.setEntryEncoding,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveInputStream,36,52,60,18,34,30.0,56.666666666666664,0,14
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveOutputStream,28,40,47,14,26,29.78723404255319,55.319148936170215,0,11
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.detect,26,37,46,13,24,28.26086956521739,52.17391304347826,0,8
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.getArchiveInputStreamProviders,4,4,8,2,3,25.0,37.5,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.getArchiveOutputStreamProviders,4,4,8,2,3,25.0,37.5,0,1
@@ org.apache.commons.compress.archivers.Lister.main,14,18,20,8,10,40.0,50.0,0,2
@@ org.apache.commons.compress.archivers.Lister.listStream,13,17,13,7,10,53.84615384615385,76.92307692307693,0,1
@@ org.apache.commons.compress.archivers.Lister.createArchiveInputStream,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.compress.archivers.Lister.detectFormat,6,7,4,3,4,75.0,100.0,0,0
@@ org.apache.commons.compress.archivers.Lister.list7z,12,15,12,5,8,41.66666666666667,66.66666666666666,0,2
@@ org.apache.commons.compress.archivers.Lister.listZipUsingZipFile,9,11,8,4,6,50.0,75.0,0,1
@@ org.apache.commons.compress.archivers.dump.DumpArchiveInputStream$1.compare,5,6,6,3,4,50.0,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.dump.DumpArchiveConstants$SEGMENT_TYPE.find,7,8,7,2,2,28.57142857142857,28.57142857142857,0,1
