>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.closeForWriting,6,2,2,33.33333333333333,33.33333333333333,0,8
@@ org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.close,10,3,4,30.0,40.0,0,6
@@ org.apache.commons.compress.changes.ChangeSetResults.hasBeenAdded,12,3,4,25.0,33.33333333333333,0,4
@@ org.apache.commons.compress.changes.ChangeSetPerformer.perform,81,22,39,27.160493827160494,48.148148148148145,0,144
@@ org.apache.commons.compress.changes.ChangeSetPerformer.isDeletedLater,18,8,12,44.44444444444444,66.66666666666666,0,6
@@ org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveInputStreamIterator.hasNext,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.compress.changes.Change.<init>,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.compress.changes.Change.<init>,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.compress.changes.ChangeSet.addAddition,31,9,17,29.03225806451613,54.83870967741935,0,8
@@ org.apache.commons.compress.changes.ChangeSet.addDeletion,41,15,26,36.58536585365854,63.41463414634146,0,19
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory$1.run,5,1,2,20.0,40.0,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory$2.run,5,1,2,20.0,40.0,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.putAll,5,1,2,20.0,40.0,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.setEntryEncoding,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveInputStream,60,18,34,30.0,56.666666666666664,0,13
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveOutputStream,47,14,26,29.78723404255319,55.319148936170215,0,9
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.detect,46,13,24,28.26086956521739,52.17391304347826,0,10
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.getArchiveInputStreamProviders,8,2,3,25.0,37.5,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.getArchiveOutputStreamProviders,8,2,3,25.0,37.5,0,1
@@ org.apache.commons.compress.archivers.Lister.main,20,8,10,40.0,50.0,0,2
@@ org.apache.commons.compress.archivers.Lister.listStream,17,7,10,41.17647058823529,58.82352941176471,0,2
@@ org.apache.commons.compress.archivers.Lister.createArchiveInputStream,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.compress.archivers.Lister.detectFormat,7,3,5,42.857142857142854,71.42857142857143,0,0
@@ org.apache.commons.compress.archivers.Lister.list7z,14,5,8,35.714285714285715,57.14285714285714,0,2
@@ org.apache.commons.compress.archivers.Lister.listZipUsingZipFile,10,4,6,40.0,60.0,0,1
