@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.drawPrimaryLine,33,48,126,117,92.85714285714286,0,26
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.getControlPoints,6,7,27,18,66.66666666666666,0,1
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.getBezierCurve,5,5,27,22,81.48148148148148,0,3
@@ org.jfree.chart.LegendItem.<init>,12,16,26,26,100.0,0,2
@@ org.jfree.chart.LegendItem.<init>,16,22,30,30,100.0,0,2
@@ org.jfree.chart.LegendItem.characterIteratorToString,7,8,15,10,66.66666666666666,0,0
@@ org.jfree.chart.LegendItem.setShape,4,4,4,4,100.0,0,1
@@ org.jfree.chart.LegendItem.setFillPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.LegendItem.setLinePaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.LegendItem.setOutlinePaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.LegendItem.setLine,4,4,4,4,100.0,0,0
@@ org.jfree.chart.LegendItem.setFillPaintTransformer,4,4,4,4,100.0,0,0
@@ org.jfree.chart.LegendItem.equals,47,68,159,159,100.0,0,4
@@ org.jfree.chart.LegendItem.clone,6,7,20,20,100.0,0,1
@@ org.jfree.chart.LegendRenderingOrder.equals,8,10,13,13,100.0,0,1
@@ org.jfree.chart.LegendRenderingOrder.readResolve,6,7,10,10,100.0,0,0
@@ org.jfree.chart.JFreeChartInfo.getLogo,5,6,9,8,88.88888888888889,0,1
@@ org.jfree.chart.LegendItemCollection.equals,8,10,15,15,100.0,0,1
@@ org.jfree.chart.PolarChartPanel.createPopupMenu,13,16,33,23,69.6969696969697,0,3
@@ org.jfree.chart.PolarChartPanel.actionPerformed,9,11,11,11,100.0,0,1
@@ org.jfree.chart.PolarChartPanel.checkChart,4,4,2,2,100.0,0,0
@@ org.jfree.chart.PolarChartPanel.getPopupMenuItem,9,12,26,14,53.84615384615385,0,0
@@ org.jfree.chart.ChartPanel.<init>,10,15,26,25,96.15384615384616,0,0
@@ org.jfree.chart.ChartPanel.setChart,11,14,24,24,100.0,0,1
@@ org.jfree.chart.ChartPanel.setDomainZoomable,11,14,13,13,100.0,0,1
@@ org.jfree.chart.ChartPanel.setRangeZoomable,11,14,13,13,100.0,0,1
@@ org.jfree.chart.ChartPanel.setDefaultDirectoryForSaveAs,5,6,6,6,100.0,0,0
@@ org.jfree.chart.ChartPanel.setZoomFillPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.ChartPanel.isMouseWheelEnabled,5,5,4,4,100.0,0,0
@@ org.jfree.chart.ChartPanel.setMouseWheelEnabled,8,11,15,15,100.0,0,0
@@ org.jfree.chart.ChartPanel.addOverlay,4,4,5,5,100.0,0,0
@@ org.jfree.chart.ChartPanel.removeOverlay,6,7,9,9,100.0,0,0
@@ org.jfree.chart.ChartPanel.addMouseHandler,4,4,5,5,100.0,0,1
@@ org.jfree.chart.ChartPanel.removeMouseHandler,4,4,5,5,100.0,0,0
@@ org.jfree.chart.ChartPanel.setDisplayToolTips,5,5,4,4,100.0,0,1
@@ org.jfree.chart.ChartPanel.getToolTipText,6,8,18,17,94.44444444444444,0,1
@@ org.jfree.chart.ChartPanel.getEntityForPoint,7,8,17,16,94.11764705882352,0,0
@@ org.jfree.chart.ChartPanel.paintComponent,34,48,167,118,70.65868263473054,0,2
@@ org.jfree.chart.ChartPanel.chartChanged,4,4,5,5,100.0,0,1
@@ org.jfree.chart.ChartPanel.actionPerformed,30,43,69,45,65.21739130434783,0,1
@@ org.jfree.chart.ChartPanel.mouseEntered,9,11,21,21,100.0,0,0
@@ org.jfree.chart.ChartPanel.mouseExited,9,11,21,21,100.0,0,1
@@ org.jfree.chart.ChartPanel.mousePressed,28,40,67,42,62.68656716417911,0,2
@@ org.jfree.chart.ChartPanel.mouseDragged,10,13,21,21,100.0,0,0
@@ org.jfree.chart.ChartPanel.mouseReleased,11,14,21,21,100.0,0,0
@@ org.jfree.chart.ChartPanel.mouseClicked,7,8,13,13,100.0,0,1
@@ org.jfree.chart.ChartPanel.mouseMoved,14,19,40,32,80.0,0,0
@@ org.jfree.chart.ChartPanel.zoomInBoth,4,4,6,6,100.0,0,1
@@ org.jfree.chart.ChartPanel.zoomInDomain,4,4,9,9,100.0,0,0
@@ org.jfree.chart.ChartPanel.zoomInRange,4,4,9,9,100.0,0,0
@@ org.jfree.chart.ChartPanel.zoomOutBoth,4,4,6,6,100.0,0,1
@@ org.jfree.chart.ChartPanel.zoomOutDomain,4,4,9,9,100.0,0,0
@@ org.jfree.chart.ChartPanel.zoomOutRange,4,4,9,9,100.0,0,1
@@ org.jfree.chart.ChartPanel.zoom,9,12,31,31,100.0,0,0
@@ org.jfree.chart.ChartPanel.restoreAutoBounds,4,4,4,4,100.0,0,0
@@ org.jfree.chart.ChartPanel.restoreAutoDomainBounds,7,8,13,13,100.0,0,1
@@ org.jfree.chart.ChartPanel.restoreAutoRangeBounds,7,8,13,13,100.0,0,0
@@ org.jfree.chart.ChartPanel.getScreenDataArea,7,8,14,12,85.71428571428571,0,0
@@ org.jfree.chart.ChartPanel.drawZoomRectangle,10,13,23,23,100.0,0,0
@@ org.jfree.chart.ChartPanel.drawSelectionShape,9,12,24,24,100.0,0,1
@@ org.jfree.chart.ChartPanel.doEditChartProperties,4,4,5,5,100.0,0,0
@@ org.jfree.chart.ChartPanel.doSaveAs,7,9,12,11,91.66666666666666,0,0
@@ org.jfree.chart.ChartPanel.createChartPrintJob,5,6,10,10,100.0,0,1
@@ org.jfree.chart.ChartPanel.print,4,4,7,7,100.0,0,0
@@ org.jfree.chart.ChartPanel.addChartMouseListener,7,8,9,7,77.77777777777779,0,1
@@ org.jfree.chart.ChartPanel.removeChartMouseListener,5,5,7,5,71.42857142857143,0,0
@@ org.jfree.chart.ChartPanel.getListeners,7,8,13,9,69.23076923076923,0,1
@@ org.jfree.chart.ChartPanel.createPopupMenu,23,32,60,32,53.333333333333336,0,1
@@ org.jfree.chart.ChartPanel.displayPopupMenu,36,52,103,67,65.0485436893204,0,2
@@ org.jfree.chart.ChartPanel.updateUI,4,4,7,7,100.0,0,0
@@ org.jfree.chart.ChartPanel.readObject,4,4,6,6,100.0,0,0
@@ org.jfree.chart.ChartPanel.getSelectionState,7,8,8,8,100.0,0,0
@@ org.jfree.chart.JFreeChart.<init>,10,13,27,26,96.29629629629629,0,1
@@ org.jfree.chart.JFreeChart.setRenderingHints,4,4,4,4,100.0,0,0
@@ org.jfree.chart.JFreeChart.setPadding,4,4,4,4,100.0,0,0
@@ org.jfree.chart.JFreeChart.setTitle,6,7,13,13,100.0,0,1
@@ org.jfree.chart.JFreeChart.setTitle,7,8,13,13,100.0,0,0
@@ org.jfree.chart.JFreeChart.getLegend,9,11,14,10,71.42857142857143,0,1
@@ org.jfree.chart.JFreeChart.setSubtitles,9,11,12,12,100.0,0,1
@@ org.jfree.chart.JFreeChart.getSubtitle,5,6,9,9,100.0,0,0
@@ org.jfree.chart.JFreeChart.addSubtitle,4,4,5,5,100.0,0,0
@@ org.jfree.chart.JFreeChart.addSubtitle,7,9,12,12,100.0,0,1
@@ org.jfree.chart.JFreeChart.clearSubtitles,5,5,6,6,100.0,0,0
@@ org.jfree.chart.JFreeChart.setAntiAlias,12,17,30,22,73.33333333333333,0,1
@@ org.jfree.chart.JFreeChart.setTextAntiAlias,5,5,6,6,100.0,0,1
@@ org.jfree.chart.JFreeChart.setBackgroundPaint,7,9,16,16,100.0,0,0
@@ org.jfree.chart.JFreeChart.setBackgroundImage,7,9,16,16,100.0,0,0
@@ org.jfree.chart.JFreeChart.setBackgroundImageAlignment,4,4,8,8,100.0,0,0
@@ org.jfree.chart.JFreeChart.setBackgroundImageAlpha,4,4,8,8,100.0,0,0
@@ org.jfree.chart.JFreeChart.setNotify,4,4,3,3,100.0,0,0
@@ org.jfree.chart.JFreeChart.draw,32,47,101,82,81.1881188118812,0,3
@@ org.jfree.chart.JFreeChart.createAlignedRectangle2D,14,19,49,42,85.71428571428571,0,0
@@ org.jfree.chart.JFreeChart.drawTitle,21,29,73,60,82.1917808219178,0,7
@@ org.jfree.chart.JFreeChart.createBufferedImage,4,4,9,9,100.0,0,0
@@ org.jfree.chart.JFreeChart.addChangeListener,7,8,9,7,77.77777777777779,0,0
@@ org.jfree.chart.JFreeChart.removeChangeListener,7,8,9,7,77.77777777777779,0,1
@@ org.jfree.chart.JFreeChart.notifyListeners,11,14,30,13,43.333333333333336,0,0
@@ org.jfree.chart.JFreeChart.addProgressListener,5,5,7,5,71.42857142857143,0,0
@@ org.jfree.chart.JFreeChart.removeProgressListener,5,5,7,5,71.42857142857143,0,0
@@ org.jfree.chart.JFreeChart.notifyListeners,10,12,24,7,29.166666666666668,0,1
@@ org.jfree.chart.JFreeChart.equals,32,46,111,111,100.0,0,2
@@ org.jfree.chart.JFreeChart.readObject,7,8,17,13,76.47058823529412,0,1
@@ org.jfree.chart.JFreeChart.clone,9,11,27,23,85.18518518518519,0,1
@@ org.jfree.chart.ChartFrame.<init>,5,5,6,6,100.0,0,0
@@ org.jfree.chart.ChartRenderingInfo.clear,4,4,6,6,100.0,0,1
@@ org.jfree.chart.ChartRenderingInfo.equals,12,16,31,31,100.0,0,1
@@ org.jfree.chart.ChartRenderingInfo.clone,6,7,15,15,100.0,0,0
@@ org.jfree.chart.BufferedImageRenderingSource.<init>,4,4,4,4,100.0,0,0
@@ org.jfree.chart.BufferedImageRenderingSource.getSelectionState,7,8,8,8,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.<init>,4,4,12,12,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setExtraLargeFont,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setLargeFont,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setRegularFont,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setSmallFont,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setTitlePaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setSubtitlePaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setChartBackgroundPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setLegendBackgroundPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setLegendItemPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setPlotBackgroundPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setPlotOutlinePaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setLabelLinkStyle,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setLabelLinkPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setDomainGridlinePaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setRangeGridlinePaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setBaselinePaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setCrosshairPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setAxisOffset,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setAxisLabelPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setTickLabelPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setItemLabelPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setShadowPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setBarPainter,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setXYBarPainter,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setThermometerPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setWallPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setErrorIndicatorPaint,4,4,4,4,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.setGridBandPaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.setGridBandAlternatePaint,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.getDrawingSupplier,4,4,8,7,87.5,0,1
@@ org.jfree.chart.StandardChartTheme.setDrawingSupplier,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.apply,11,14,27,23,85.18518518518519,0,0
@@ org.jfree.chart.StandardChartTheme.applyToTitle,20,28,41,41,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.applyToBlockContainer,5,5,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToBlock,6,7,10,10,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToPlot,26,37,50,50,100.0,0,2
@@ org.jfree.chart.StandardChartTheme.applyToPiePlot,8,10,9,9,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToCategoryPlot,29,40,67,52,77.61194029850746,0,0
@@ org.jfree.chart.StandardChartTheme.applyToXYPlot,32,44,72,57,79.16666666666666,0,1
@@ org.jfree.chart.StandardChartTheme.applyToFastScatterPlot,6,7,9,9,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToPolarPlot,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToThermometerPlot,4,4,4,4,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToCategoryAxis,4,4,6,6,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToValueAxis,6,7,8,8,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToPeriodAxis,5,5,14,10,71.42857142857143,0,1
@@ org.jfree.chart.StandardChartTheme.applyToAbstractRenderer,6,7,6,6,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToCategoryItemRenderer,16,22,37,37,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.applyToXYItemRenderer,8,10,16,16,100.0,0,1
@@ org.jfree.chart.StandardChartTheme.applyToXYAnnotation,6,7,8,8,100.0,0,0
@@ org.jfree.chart.StandardChartTheme.equals,68,100,255,255,100.0,0,2
@@ org.jfree.chart.ChartFactory.setChartTheme,8,10,8,8,100.0,0,0
@@ org.jfree.chart.ChartFactory.createPieChart,37,52,79,73,92.40506329113924,0,1
@@ org.jfree.chart.ChartFactory.createPieChart,37,52,79,73,92.40506329113924,0,1
@@ org.jfree.chart.ChartFactory.createMultiplePieChart,4,4,8,8,100.0,0,0
@@ org.jfree.chart.ChartFactory.createMultiplePieChart3D,4,4,9,9,100.0,0,1
@@ org.jfree.chart.ChartFactory.createXYBarChart,8,9,18,14,77.77777777777779,0,0
@@ org.jfree.chart.ChartTransferable.getTransferData,4,4,15,15,100.0,0,0
